countryName,meanIAT,nIAT,seIAT,meanExp,nExp,seExp
NCL,0.35553270139697096,15.0,0.0359954649279222,1.25,20.0,0.17686971119115394
COD,0.255195768670484,44.0,0.00879828800724132,-0.454545454545455,44.0,0.0471294343579252
WALES,0.326689683726724,44791.0,9.638668990978081e-06,0.356445562281524,46916.0,3.68802247340708e-05
GTM,0.34439589148863203,263.0,0.00152992798110589,0.8297872340425531,282.0,0.00730918471097005
HKG,0.38599419284599296,1546.0,0.00026402631534952996,0.5424469413233459,1602.0,0.00103384131413436
TZA,0.191317195295492,96.0,0.0041982348773642285,-0.634615384615385,104.0,0.0156287626771696
NZL,0.349232466175916,4489.0,9.39007245595066e-05,0.38030888030888,4662.0,0.000396009127061903
NGA,0.0941000707850976,268.0,0.0017821564968086802,-0.8211920529801321,302.0,0.007422242786872859
BEN,0.255356561846578,238.0,0.0022988668042302,0.19658119658119705,234.0,0.0145877288093194
JAM,0.109660844924442,517.0,0.00088134624724576,-1.07635009310987,537.0,0.00408705493627887
CZE,0.411976316319541,595.0,0.000712378907208621,0.683946488294314,598.0,0.00348928950301772
SVN,0.273530426372699,303.0,0.00142602436375671,0.42990654205607504,321.0,0.00608442622307571
CAN,0.34916892468932204,61289.0,6.8857727253247815e-06,0.457384608071493,63111.0,2.82403196042174e-05
LSO,0.20800974592693694,8.0,0.0537901194242193,1.8,10.0,0.32930904093942603
GEO,0.19350084134665504,652.0,0.000750755230092574,-0.405956112852665,638.0,0.00419082298327863
LKA,0.359800930575957,86.0,0.00418134499414817,-0.14285714285714302,98.0,0.0209275379773755
CMR,0.21465441514798295,85.0,0.00578371114629717,-0.210526315789474,95.0,0.0237318042064723
KOR,0.346293998494932,1924.0,0.00021700317248962098,0.373225152129817,1972.0,0.0009257837057586641
MDA,0.390478342488834,39.0,0.0102800569447405,1.1,40.0,0.0744208407535251
CRI,0.37669218380903297,290.0,0.00156223562775349,0.532467532467532,308.0,0.0071783307741772
ISL,0.378580533449016,332.0,0.00119097517307104,0.531609195402299,348.0,0.00426009526028898
EST,0.42931480951678,201.0,0.00219443971247538,1.18048780487805,205.0,0.0120958269958949
SLV,0.329120846883697,163.0,0.00265550748192234,0.383233532934132,167.0,0.0113602698196114
BIH,0.313658246375745,432.0,0.00115264230646117,0.491452991452991,468.0,0.0074787735408319705
GAB,0.394090672327693,16.0,0.027867230766079,-0.866666666666667,15.0,0.193327859802102
ZWE,0.20920414067527,116.0,0.00384989987353163,0.188976377952756,127.0,0.0232172177125806
SMR,0.36511218614917,2.0,0.286287118980536,1.5,2.0,1.06066017177982
TTO,0.224721742443869,497.0,0.00091141179484573,-0.421455938697318,522.0,0.00420589259302209
SLB,0.151498692504216,2.0,0.17209864536506794,1.0,3.0,0.577350269189626
SWZ,0.0973410249452085,36.0,0.0107934892319118,-0.583333333333333,36.0,0.0707028833021047
CYM,0.292610365397856,112.0,0.00383219692708236,-0.0964912280701754,114.0,0.0146210406011258
MNE,0.416697306648281,8.0,0.0444218059360815,1.0,9.0,0.235702260395516
ETH,0.150926006272541,166.0,0.00243043561005075,-1.10497237569061,181.0,0.0157940069402046
MDG,0.37188621292294505,15.0,0.0331197802731733,0.666666666666667,15.0,0.15869840952317402
VUT,0.371994748143791,13.0,0.0459804553675322,0.6428571428571429,14.0,0.199306377394129
RWA,0.113374458459009,12.0,0.0526610663779038,-1.35714285714286,14.0,0.349486215017922
NER,0.176682430674604,12.0,0.028052296894992997,1.3076923076923102,13.0,0.378651994219554
BFA,0.2893252965825661,18.0,0.0202780783024821,1.73684210526316,19.0,0.214754403351948
BOL,0.271856140569418,395.0,0.0012295890455063599,0.303921568627451,408.0,0.00835402507560057
PAN,0.380606563040828,198.0,0.0022363174724224,0.5627906976744189,215.0,0.00928547879835774
DZA,0.298328578241274,514.0,0.000905231063020391,0.167910447761194,536.0,0.00506226806224955
ANT,,,,,,
PRI,0.34197152551584303,839.0,0.000535224340021411,0.0299194476409666,869.0,0.0024056059912868103
BDI,0.220994817067678,18.0,0.0301412655949642,0.4166666666666671,24.0,0.117797743499572
COG,0.290334840261474,17.0,0.0204089777064793,-1.1875,16.0,0.339437916206091
GNQ,0.0689224847969259,5.0,0.1289596823965,0.33333333333333304,6.0,0.136082763487954
BWA,0.252096063507986,332.0,0.00148852216895133,0.524926686217009,341.0,0.0124671864140557
Mali,,,,,,
CIV,-0.0279105274002429,29.0,0.014760187235229,-1.25925925925926,27.0,0.0799602838740179
TCD,0.372632978199924,16.0,0.0285580821580974,0.578947368421053,19.0,0.28251377284630896
FRO,0.3737721386843351,31.0,0.0151265900392282,0.575757575757576,33.0,0.0690310342592629
MUS,0.322726195207318,27.0,0.0162100342705574,0.107142857142857,28.0,0.0871242529984242
IRQ,0.29693008780462604,177.0,0.0022692972059519,0.34536082474226804,194.0,0.0136825437950576
TKM,0.41648581143249297,13.0,0.0340179285166688,-0.0769230769230769,13.0,0.0913493978454391
,,,,,,
CPV,0.354923121695253,61.0,0.00725821039334841,0.524590163934426,61.0,0.0328696438285624
CUB,0.266832703499011,63.0,0.007788529569205791,0.656716417910448,67.0,0.0454904751902649
NAM,,,,,,
JOR,0.267532937741514,233.0,0.0019230841928199397,0.0,234.0,0.00627275088889089
SYR,0.247158689880036,20.0,0.0237349801361546,-0.136363636363636,22.0,0.11677101187358803
PRK,0.0323142980685663,10.0,0.0612032489435663,-0.8888888888888891,9.0,0.19598157859737694
GUY,0.17353353699668306,74.0,0.00635517128465055,-0.7142857142857142,84.0,0.0238504688506203
UZB,0.357250689798277,40.0,0.0111072721543263,0.974358974358974,39.0,0.0847333205607182
LIE,0.42163894126503104,12.0,0.04092670348283,0.181818181818182,11.0,0.349304342467162
ABW,0.222097058625313,243.0,0.0019779216450343693,-0.160337552742616,237.0,0.0137437347449411
LBR,0.0645540093271358,43.0,0.00931088850654851,-0.583333333333333,48.0,0.0388767500473926
MOZ,0.17900220495969002,27.0,0.0151721608871272,0.0,31.0,0.032258064516129
DOM,0.34407350492222993,402.0,0.00112315572102239,0.297587131367292,373.0,0.005556530646504121
CAF,0.318392218457215,23.0,0.0192177209218331,-0.130434782608696,23.0,0.14732789092912502
NPL,0.34996480180834005,90.0,0.004712824220109321,0.3663366336633661,101.0,0.0157000342027559
BGD,0.30423759795280103,313.0,0.00156034030623927,0.5854430379746839,316.0,0.0128806718658403
